
Epoch 0 --> 28/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085422, L_CE=0.163605, Now=22:27:39
Epoch 0 --> 28/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085422, L_CE=0.163614, Now=22:29:31
Epoch 0 --> 28/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085425, L_CE=0.163597, Now=22:31:22
Epoch 0 --> 28/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085465, L_CE=0.163629, Now=22:33:15
Epoch 0 --> 29/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085616, L_CE=0.163934, Now=22:35:22
Epoch 0 --> 29/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085732, L_CE=0.164170, Now=22:37:14
Epoch 0 --> 29/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085609, L_CE=0.163903, Now=22:39:05
Epoch 0 --> 29/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085514, L_CE=0.163741, Now=22:40:56
Epoch 0 --> 29/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085465, L_CE=0.163628, Now=22:42:47
Epoch 0 --> 30/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085307, L_CE=0.163239, Now=22:44:55
Epoch 0 --> 30/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085227, L_CE=0.163162, Now=22:46:49
Epoch 0 --> 30/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085391, L_CE=0.163460, Now=22:48:40
Epoch 0 --> 30/100, i=2000/2500, -3.00dB/90Hz, Tr_BER=0.085332, L_CE=0.163389, Now=22:50:28
Epoch 0 --> 30/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=22:52:20
Epoch 0 --> 31/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085060, L_CE=0.162896, Now=22:54:25
Epoch 0 --> 31/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085248, L_CE=0.163243, Now=22:56:17
Epoch 0 --> 31/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085302, L_CE=0.163321, Now=22:58:09
Epoch 0 --> 31/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085402, L_CE=0.163513, Now=23:00:01
Epoch 0 --> 31/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:01:54
Epoch 0 --> 32/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085726, L_CE=0.164073, Now=23:03:59
Epoch 0 --> 32/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085304, L_CE=0.163323, Now=23:05:52
Epoch 0 --> 32/100, i=1500/2500, -3.00dB/90Hz, Tr_BER=0.085413, L_CE=0.163539, Now=23:07:46
Epoch 0 --> 32/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085437, L_CE=0.163579, Now=23:09:39
Epoch 0 --> 32/100, i=2500/2500, -3.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:11:31
Epoch 0 --> 33/100, i= 500/2500, -4.00dB/90Hz, Tr_BER=0.085389, L_CE=0.163569, Now=23:13:37
Epoch 0 --> 33/100, i=1000/2500, -4.00dB/90Hz, Tr_BER=0.085187, L_CE=0.163181, Now=23:15:29
Epoch 0 --> 33/100, i=1500/2500, -4.00dB/90Hz, Tr_BER=0.085415, L_CE=0.163585, Now=23:17:20
Epoch 0 --> 33/100, i=2000/2500, -4.00dB/90Hz, Tr_BER=0.085406, L_CE=0.163528, Now=23:19:11
Epoch 0 --> 33/100, i=2500/2500, -4.00dB/90Hz, Tr_BER=0.085464, L_CE=0.163627, Now=23:21:03
Epoch 0 --> 34/100, i= 500/2500, -3.00dB/90Hz, Tr_BER=0.085472, L_CE=0.163730, Now=23:23:09
