
Epoch 0 --> 26/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103355, L_CE=0.190741, Now=14:45:54
Epoch 0 --> 26/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103520, L_CE=0.190997, Now=14:47:29
Epoch 0 --> 26/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103668, L_CE=0.191225, Now=14:49:02
Epoch 0 --> 27/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.103859, L_CE=0.191710, Now=14:50:53
Epoch 0 --> 27/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103706, L_CE=0.191393, Now=14:52:26
Epoch 0 --> 27/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103751, L_CE=0.191478, Now=14:54:00
Epoch 0 --> 27/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103765, L_CE=0.191441, Now=14:55:35
Epoch 0 --> 27/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103623, L_CE=0.191170, Now=14:57:09
Epoch 0 --> 28/200, i= 500/2500, -4.00dB/150Hz, Tr_BER=0.103238, L_CE=0.190484, Now=14:58:54
Epoch 0 --> 28/200, i=1000/2500, -4.00dB/150Hz, Tr_BER=0.103359, L_CE=0.190701, Now=15:00:25
Epoch 0 --> 28/200, i=1500/2500, -3.00dB/150Hz, Tr_BER=0.103335, L_CE=0.190659, Now=15:02:00
Epoch 0 --> 28/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103471, L_CE=0.190893, Now=15:03:34
Epoch 0 --> 28/200, i=2500/2500, -3.00dB/150Hz, Tr_BER=0.103483, L_CE=0.190942, Now=15:05:10
Epoch 0 --> 29/200, i= 500/2500, -5.00dB/150Hz, Tr_BER=0.102842, L_CE=0.189954, Now=15:07:00
Epoch 0 --> 29/200, i=1000/2500, -3.00dB/150Hz, Tr_BER=0.103198, L_CE=0.190570, Now=15:08:29
Epoch 0 --> 29/200, i=1500/2500, -4.00dB/150Hz, Tr_BER=0.103238, L_CE=0.190664, Now=15:10:03
Epoch 0 --> 29/200, i=2000/2500, -4.00dB/150Hz, Tr_BER=0.103347, L_CE=0.190813, Now=15:11:38
Epoch 0 --> 29/200, i=2500/2500, -4.00dB/150Hz, Tr_BER=0.103431, L_CE=0.190880, Now=15:13:11
